ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
2,"Private not-for-profit, 4-year or above","167677","Saint John's Seminary",2017,"2017",46,"saint-johns-seminary","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166656","MCPHS University",2017,"2017",2131,"mcphs-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166869","MGH Institute of Health Professions",2017,"2017",513,"mgh-institute-of-health-professions","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167093","New England College of Optometry",2017,"2017",150,"new-england-college-of-optometry","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165884","Benjamin Franklin Institute of Technology",2017,"2017",187,"benjamin-franklin-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164748","Berklee College of Music",2017,"2017",1665,"berklee-college-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164872","Boston Architectural College",2017,"2017",199,"boston-architectural-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167057","The New England Conservatory of Music",2017,"2017",263,"the-new-england-conservatory-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167215","New England Law-Boston",2017,"2017",212,"new-england-law-boston","Boston, MA","16000US2507000","boston-ma"
3,"Private for-profit, 4-year or above","164641","Bay State College (164641)",2017,"2017",287,"bay-state-college","Boston, MA","16000US2507000","boston-ma"
3,"Private for-profit, 4-year or above","164438","New England College of Business and Finance",2017,"2017",251,"new-england-college-of-business-and-finance","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","167631","Roxbury Community College",2017,"2017",329,"roxbury-community-college","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","165112","Bunker Hill Community College",2017,"2017",1569,"bunker-hill-community-college","Boston, MA","16000US2507000","boston-ma"
5,"Private not-for-profit, 2-year","167297","North Bennet Street School",2017,"2017",91,"north-bennet-street-school","Boston, MA","16000US2507000","boston-ma"
5,"Private not-for-profit, 2-year","429128","Urban College of Boston",2017,"2017",149,"urban-college-of-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","164845","Empire Beauty School-Boston",2017,"2017",114,"empire-beauty-school-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","484057","Jupiter Beauty Academy",2017,"2017",203,"jupiter-beauty-academy","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","487144","American Academy of Personal Training-Boston Campus",2017,"2017",54,"american-academy-of-personal-training-boston-campus","Boston, MA","16000US2507000","boston-ma"
1,"Public, 4-year or above","166638","University of Massachusetts-Boston",2016,"2016",3984,"university-of-massachusetts-boston","Boston, MA","16000US2507000","boston-ma"
1,"Public, 4-year or above","166674","Massachusetts College of Art and Design",2016,"2016",447,"massachusetts-college-of-art-and-design","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165802","Fisher College",2016,"2016",343,"fisher-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165671","Emmanuel College (165671)",2016,"2016",625,"emmanuel-college-165671","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164988","Boston University",2016,"2016",10671,"boston-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167358","Northeastern University",2016,"2016",6692,"northeastern-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168005","Suffolk University (168005)",2016,"2016",2394,"suffolk-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165167","Cambridge College",2016,"2016",835,"cambridge-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165662","Emerson College",2016,"2016",1236,"emerson-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167783","Simmons University",2016,"2016",1886,"simmons-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","482705","Northeastern University Professional Programs",2016,"2016",2919,"northeastern-university-lifelong-learning-network","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168227","Wentworth Institute of Technology",2016,"2016",888,"wentworth-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168290","Wheelock College (168290)",2016,"2016",439,"wheelock-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","431594","Massachusetts General Hospital Dietetic Internship",2016,"2016",11,"massachusetts-general-hospital-dietetic-internship","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164614","Boston Baptist College",2016,"2016",20,"boston-baptist-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167677","Saint John's Seminary",2016,"2016",38,"saint-johns-seminary","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166656","MCPHS University",2016,"2016",2175,"mcphs-university","Boston, MA","16000US2507000","boston-ma"
